,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,customer_amount,seller_amount,geolocation_city,geolocation_state,mean_order_price,review_score
224,1439,-23.56628948809204,-46.673571417782284,0,0,sao paulo,SP,0.0,
225,1440,-23.568289458157125,-46.67817024606098,1,0,sao paulo,SP,34.99,5.0
226,1441,-23.570603894261335,-46.68373209675989,0,0,sao paulo,SP,0.0,
227,1442,-23.566530732061704,-46.67861605515885,6,0,sao paulo,SP,41.31666666666667,4.166666666666667
228,1443,-23.568268938910098,-46.684507863331326,1,0,sao paulo,SP,44.99,4.0
229,1444,-23.573235541829785,-46.68752695447546,2,0,sao paulo,SP,99.9,5.0
230,1445,-23.57103798335723,-46.688068007270104,3,0,sao paulo,SP,72.93333333333334,5.0
231,1446,-23.575583788550986,-46.675498893884544,0,0,sao paulo,SP,0.0,
232,1447,-23.57278680948971,-46.67888556258397,2,0,sao paulo,SP,68.125,5.0
233,1448,-23.578237896388117,-46.6798226933562,3,0,sao paulo,SP,174.6,2.3333333333333335
234,1449,-23.576116917727894,-46.67995669824682,1,0,sao paulo,SP,56.9,1.0
235,1450,-23.576453178872967,-46.68518508958671,4,0,sao paulo,SP,166.2,4.5
236,1451,-23.577435950107756,-46.686989849503625,23,0,sao paulo,SP,83.97956521739131,4.3478260869565215
237,1452,-23.57499644597807,-46.68887938403563,16,2,sao paulo,SP,118.70125000000002,3.6875
238,1453,-23.58405900397474,-46.686376108944685,16,0,sao paulo,SP,158.56625000000003,4.0
239,1454,-23.5823769762781,-46.68670275509793,15,0,sao paulo,SP,127.266,4.733333333333333
240,1455,-23.580554136002814,-46.69112136854049,11,0,sao paulo,SP,137.29727272727274,3.909090909090909
241,1456,-23.576839765441044,-46.69098724900726,7,0,sao paulo,SP,301.6628571428572,2.7142857142857144
242,1457,-23.575237809829588,-46.69270350960496,1,0,sao paulo,SP,224.16,5.0
243,1472,-23.57054369248079,-46.69129667943905,0,0,sao paulo,SP,0.0,
244,1489,-23.57664998889148,-46.68740004775216,0,0,sao paulo,SP,0.0,
245,1501,-23.552469356196877,-46.63548543836742,7,0,sao paulo,SP,211.81285714285715,4.142857142857143
246,1502,-23.55460594212853,-46.63549256113905,1,0,sao paulo,SP,129.9,5.0
247,1503,-23.557709002952702,-46.636769371015525,6,0,sao paulo,SP,71.44666666666667,4.666666666666667
248,1504,-23.566860580458098,-46.639505296222325,11,0,sao paulo,SP,131.24454545454543,4.545454545454546
249,1505,-23.555267611186444,-46.63182476204628,2,0,sao paulo,SP,45.95,5.0
250,1506,-23.559558667862476,-46.635032185031825,5,0,sao paulo,SP,94.148,4.6
251,1507,-23.558146418434664,-46.63176589052543,3,0,sao paulo,SP,412.96333333333337,3.3333333333333335
252,1508,-23.561423631210438,-46.635830059412875,17,0,sao paulo,SP,112.85117647058826,3.8823529411764706
253,1509,-23.567010080253134,-46.6357981412501,7,0,sao paulo,SP,86.16999999999999,4.0
254,1510,-23.557602164986584,-46.63361528281082,3,0,sao paulo,SP,73.63333333333334,5.0
255,1511,-23.561456812728604,-46.63294793571506,10,199,sao paulo,SP,267.63800000000003,4.5
256,1512,-23.553717206079803,-46.62949909730413,8,86,sao paulo,SP,86.53375,4.25
257,1513,-23.548914356972634,-46.60384461609751,1,0,sao paulo,SP,12.97,5.0
258,1514,-23.554377818784552,-46.62833776862852,3,0,sao paulo,SP,53.38666666666666,4.666666666666667
259,1516,-23.559073244239713,-46.615479964241814,8,0,sao paulo,SP,114.3825,4.25
260,1517,-23.559613278440462,-46.62400348069892,7,0,sao paulo,SP,62.111428571428576,3.857142857142857
261,1518,-23.559209262391256,-46.62318692012761,1,0,sao paulo,SP,259.99,5.0
262,1519,-23.56092636240119,-46.62475706787168,3,0,sao paulo,SP,66.59666666666668,3.3333333333333335
263,1520,-23.5593782690559,-46.62016401941447,8,0,sao paulo,SP,83.3475,3.875
264,1521,-23.561174444941702,-46.621509031668836,5,0,sao paulo,SP,104.43799999999999,4.4
265,1522,-23.559920265800763,-46.61598186753571,2,0,sao paulo,SP,59.5,3.5
266,1523,-23.564203478452267,-46.61689706470856,3,0,sao paulo,SP,127.96666666666665,4.0
267,1524,-23.56778327483324,-46.61340053805787,2,0,sao paulo,SP,115.495,5.0
268,1525,-23.564028977467746,-46.634953911249525,17,0,sao paulo,SP,71.45823529411764,4.588235294117647
269,1526,-23.565952267759908,-46.63094391856622,13,0,sao paulo,SP,135.49384615384614,4.0
270,1527,-23.562439173525966,-46.62919220917373,12,0,sao paulo,SP,153.59416666666667,4.583333333333333
271,1528,-23.56477004530615,-46.627165924834166,4,0,sao paulo,SP,66.47999999999999,5.0
272,1529,-23.568439156874526,-46.63455549164137,22,17,sao paulo,SP,152.7659090909091,4.454545454545454
273,1530,-23.568944498063477,-46.6300891882054,4,12,sao paulo,SP,50.0475,4.5
274,1531,-23.57076062771336,-46.63242524738392,4,0,sao paulo,SP,82.245,5.0
275,1532,-23.57053421761298,-46.636111876960506,16,0,sao paulo,SP,231.87125,4.625
276,1533,-23.571168123099824,-46.63836454335033,9,0,sao paulo,SP,73.01111111111112,4.666666666666667
277,1534,-23.567543590159627,-46.626085143450254,9,0,sao paulo,SP,124.14333333333333,4.555555555555555
278,1535,-23.572433214905786,-46.625241361882196,7,0,sao paulo,SP,88.34,4.714285714285714
279,1536,-23.569032131454914,-46.6234362735564,10,0,sao paulo,SP,89.91,3.2
280,1537,-23.57442284838845,-46.62313726443156,5,0,sao paulo,SP,39.577999999999996,4.8
281,1538,-23.57631282327834,-46.62362934794424,3,0,sao paulo,SP,78.60000000000001,3.6666666666666665
282,1539,-23.5711528559151,-46.62043601303771,4,30,sao paulo,SP,56.9475,4.75
283,1540,-23.565851346289612,-46.62258150860084,2,0,sao paulo,SP,35.47,4.0
284,1541,-23.56925274057871,-46.6186169730581,4,7,sao paulo,SP,96.3725,4.75
285,1542,-23.571065827080144,-46.62406014113324,1,0,sao paulo,SP,22.3,5.0
286,1543,-23.573720975073698,-46.62387176826929,15,0,sao paulo,SP,43.50466666666667,2.933333333333333
287,1544,-23.57725543271809,-46.621631742215655,15,0,sao paulo,SP,80.75466666666667,4.866666666666666
288,1545,-23.580974143098487,-46.61831033162643,2,34,sao paulo,SP,68.435,5.0
289,1546,-23.579039318151192,-46.62195565179699,5,0,sao paulo,SP,234.41799999999998,4.4
290,1547,-23.582993961723396,-46.62112676164033,9,64,sao paulo,SP,42.81777777777778,4.888888888888889
291,1548,-23.576927145286824,-46.613420785199985,14,0,sao paulo,SP,102.91499999999999,4.642857142857143
292,1549,-23.576317533999347,-46.61558665669375,5,0,sao paulo,SP,91.298,4.6
